Student_Number,Matric_Aggregate_Group,FTENab,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
10658302,0000_0000,F,DIPL,26_28     ,African,F,ISINDEBELE,Unemployed,WITBANK,North Eastern,1.0
10362716,1101_1150,F,DIPL,26_28     ,African,F,NORTHERN SOTHO,Unemployed,PRETORIA,Gauteng,1.0
11563154,0000_0000,F,HCER,22_23     ,African,M,SESOTHO,Unemployed,PRETORIA,Gauteng,1.0
10977610,0000_0000,F,DEGR,24_25     ,African,F,NORTHERN SOTHO,Unemployed,LYDENBURG,North Eastern,1.0
12167155,0851_0900,F,DIPL,29_34     ,African,M,NORTHERN SOTHO,Unemployed,PIETERSBURG,North Eastern,1.0
11283216,1201_1300,T,DEGR,26_28     ,African,M,NORTHERN SOTHO,Employed,LYDENBURG,North Eastern,1.0
10663848,1301_1400,T,DEGR,22_23     ,African,F,ISIZULU,Employed,SOSHANGUWE,Gauteng,1.0
11284123,0901_0950,F,DIPL,18_19     ,African,M,ISIZULU,Unemployed,PIETERMARITZBURG,KwaZulu-Natal,1.0
11286886,0951_1000,T,DEGR,20_21     ,African,M,ISIXHOSA,Unemployed,MITCHELLS PLAIN,Western Cape,1.0
12171748,0000_0000,T,DIPL,26_28     ,African,F,ISIZULU,Employed,BRAKPAN,Gauteng,1.0
12171853,1151_1200,T,MATR,29_34     ,Coloured,M,ENGLISH,Employed,PAARL,Western Cape,1.0
10667924,1051_1100,T,DIPL,29_34     ,African,M,ENGLISH,Employed,BOKSBURG,Gauteng,1.0
11572447,0001_0600,F,ONBK,26_28     ,African,M,SISWATI,Employed,NKOMAZI,North Eastern,1.0
11572455,0001_0600,T,SENR,29_34     ,African,F,NORTHERN SOTHO,Unemployed,NEBO,North Eastern,1.0
11574865,1201_1300,F,DEGR,20_21     ,Coloured,F,ENGLISH,Unemployed,PORT ELIZABETH,Eastern Cape,1.0
12173751,0000_0000,T,DIPL,26_28     ,African,M,NORTHERN SOTHO,Employed,PIETERSBURG,North Eastern,1.0
11298321,1301_1400,T,DEGR,26_28     ,African,F,SETSWANA,Unemployed,MMABATHO,Midlands,1.0
10672839,0601_0800,T,SENR,29_34     ,African,F,SESOTHO,Employed,RUSTENBURG,Midlands,1.0
10672979,0000_0000,T,KWAL,35_40     ,African,M,SETSWANA,Employed,WONDERBOOM,Gauteng,1.0
10381381,1201_1300,T,DEGR,26_28     ,African,F,ISIXHOSA,Employed,UITENHAGE,Eastern Cape,1.0
12174421,1301_1400,T,MATR,29_34     ,Coloured,F,AFR/ENG,Employed,GOODWOOD,Western Cape,1.0
12176057,0000_0000,T,DEGR,29_34     ,White,M,ENGLISH,Employed,RANDBURG,Gauteng,1.0
11298817,1401_3000,T,DEGR,26_28     ,White,F,AFRIKAANS,Employed,MOSSELBAY,Western Cape,1.0
11303543,0601_0800,T,DEGR,29_34     ,African,M,SESOTHO,Unemployed,JOHANNESBURG,Gauteng,1.0
11576213,1301_1400,T,DEGR,24_25     ,Indian,M,ENGLISH,Employed,RANDBURG,Gauteng,1.0
12177390,0000_0000,T,DIPL,26_28     ,African,M,TSHIVENDA,Employed,WONDERBOOM,Gauteng,1.0
11307654,0000_0000,F,DEGR,22_23     ,African,M,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1.0
11307735,0601_0800,F,DIPL,29_34     ,African,M,ISIXHOSA,Unemployed,MITCHELLS PLAIN,Western Cape,1.0
11583023,1001_1050,T,DIPL,26_28     ,African,F,SETSWANA,Employed,THABAZIMBI,Midlands,1.0
10993163,1001_1050,T,DIPL,24_25     ,African,M,NORTHERN SOTHO,Employed,SOSHANGUWE,Gauteng,1.0
12178696,0951_1000,F,DEGR,24_25     ,African,M,SETSWANA,Employed,SOSHANGUWE,Gauteng,1.0
10391271,1101_1150,T,DEGR,24_25     ,African,M,TSHIVENDA,Employed,SOUTPANSBERG,North Eastern,1.0
10685372,0000_0000,T,DIPL,26_28     ,African,F,ISIZULU,Employed,PINETOWN,KwaZulu-Natal,1.0
10685949,0000_0000,F,DEGR,20_21     ,White,F,AFR/ENG,Unemployed,GERMISTON,Gauteng,1.0
10688867,1151_1200,T,DEGR,24_25     ,Indian,F,ENGLISH,Employed,INANDA,KwaZulu-Natal,1.0
11589498,1051_1100,T,DEGR,24_25     ,African,F,NORTHERN SOTHO,Unemployed,MDUTJANA,North Eastern,1.0
12181433,0851_0900,F,DIPL,26_28     ,African,M,SESOTHO,Employed,WELKOM,Midlands,1.0
12181638,1051_1100,T,DIPL,29_34     ,African,F,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1.0
12182351,0901_0950,F,DIPL,20_21     ,African,M,ISIXHOSA,Employed,BENONI,Gauteng,1.0
11592122,1301_1400,F,DEGR,26_28     ,African,F,ISIZULU,Unemployed,HLABISA,KwaZulu-Natal,1.0
11592367,1301_1400,F,DEGR,22_23     ,African,M,ISIZULU,Employed,ALBERTON,Gauteng,1.0
11596656,0001_0600,T,ONBK,26_28     ,African,F,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1.0
10692190,0000_0000,T,DEGR,29_34     ,African,M,TSHIVENDA,Employed,KEMPTON PARK,Gauteng,1.0
