Matric_Aggregate_Group;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
1301_1400;T;DEGR;22_23     ;African;F;ISIZULU;Employed;SOSHANGUWE;Gauteng;1
0901_0950;F;DIPL;18_19     ;African;M;ISIZULU;Unemployed;PIETERMARITZBURG;KwaZulu-Natal;1
0951_1000;T;DEGR;20_21     ;African;M;ISIXHOSA;Unemployed;MITCHELLS PLAIN;Western Cape;1
0000_0000;T;DIPL;26_28     ;African;F;ISIZULU;Employed;BRAKPAN;Gauteng;1
1151_1200;T;MATR;29_34     ;Coloured;M;ENGLISH;Employed;PAARL;Western Cape;1
1051_1100;T;DIPL;29_34     ;African;M;ENGLISH;Employed;BOKSBURG;Gauteng;1
0001_0600;F;ONBK;26_28     ;African;M;SISWATI;Employed;NKOMAZI;North Eastern;1
0001_0600;T;SENR;29_34     ;African;F;NORTHERN SOTHO;Unemployed;NEBO;North Eastern;1
1201_1300;F;DEGR;20_21     ;Coloured;F;ENGLISH;Unemployed;PORT ELIZABETH;Eastern Cape;1
0000_0000;T;DIPL;26_28     ;African;M;NORTHERN SOTHO;Employed;PIETERSBURG;North Eastern;1
1301_1400;T;DEGR;26_28     ;African;F;SETSWANA;Unemployed;MMABATHO;Midlands;1
0601_0800;T;SENR;29_34     ;African;F;SESOTHO;Employed;RUSTENBURG;Midlands;1
0000_0000;T;KWAL;35_40     ;African;M;SETSWANA;Employed;WONDERBOOM;Gauteng;1
1201_1300;T;DEGR;26_28     ;African;F;ISIXHOSA;Employed;UITENHAGE;Eastern Cape;1
1301_1400;T;MATR;29_34     ;Coloured;F;AFR/ENG;Employed;GOODWOOD;Western Cape;1
0000_0000;T;DEGR;29_34     ;White;M;ENGLISH;Employed;RANDBURG;Gauteng;1
1401_3000;T;DEGR;26_28     ;White;F;AFRIKAANS;Employed;MOSSELBAY;Western Cape;1
0601_0800;T;DEGR;29_34     ;African;M;SESOTHO;Unemployed;JOHANNESBURG;Gauteng;1
1301_1400;T;DEGR;24_25     ;Indian;M;ENGLISH;Employed;RANDBURG;Gauteng;1
0000_0000;T;DIPL;26_28     ;African;M;TSHIVENDA;Employed;WONDERBOOM;Gauteng;1
0000_0000;F;DEGR;22_23     ;African;M;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
0601_0800;F;DIPL;29_34     ;African;M;ISIXHOSA;Unemployed;MITCHELLS PLAIN;Western Cape;1
1001_1050;T;DIPL;26_28     ;African;F;SETSWANA;Employed;THABAZIMBI;Midlands;1
1001_1050;T;DIPL;24_25     ;African;M;NORTHERN SOTHO;Employed;SOSHANGUWE;Gauteng;1
0951_1000;F;DEGR;24_25     ;African;M;SETSWANA;Employed;SOSHANGUWE;Gauteng;1
1101_1150;T;DEGR;24_25     ;African;M;TSHIVENDA;Employed;SOUTPANSBERG;North Eastern;1
0000_0000;T;DIPL;26_28     ;African;F;ISIZULU;Employed;PINETOWN;KwaZulu-Natal;1
0000_0000;F;DEGR;20_21     ;White;F;AFR/ENG;Unemployed;GERMISTON;Gauteng;1
1151_1200;T;DEGR;24_25     ;Indian;F;ENGLISH;Employed;INANDA;KwaZulu-Natal;1
1051_1100;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Unemployed;MDUTJANA;North Eastern;1
0851_0900;F;DIPL;26_28     ;African;M;SESOTHO;Employed;WELKOM;Midlands;1
1051_1100;T;DIPL;29_34     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
0901_0950;F;DIPL;20_21     ;African;M;ISIXHOSA;Employed;BENONI;Gauteng;1
1301_1400;F;DEGR;26_28     ;African;F;ISIZULU;Unemployed;HLABISA;KwaZulu-Natal;1
1301_1400;F;DEGR;22_23     ;African;M;ISIZULU;Employed;ALBERTON;Gauteng;1
0001_0600;T;ONBK;26_28     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
0000_0000;T;DEGR;29_34     ;African;M;TSHIVENDA;Employed;KEMPTON PARK;Gauteng;1
0000_0000;F;DEGR;20_21     ;Indian;M;ENGLISH;Unemployed;RANDBURG;Gauteng;1
0000_0000;F;DEGR;24_25     ;African;M;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
1051_1100;F;DEGR;20_21     ;African;F;SESOTHO;Employed;ALBERTON;Gauteng;1
1201_1300;T;DEGR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
0000_0000;F;DEGR;20_21     ;African;M;ENGLISH;Unemployed;BOKSBURG;Gauteng;1
1301_1400;T;DEGR;24_25     ;African;F;ENGLISH;Unemployed;UMTATA;Eastern Cape;1
1301_1400;T;MATR;29_34     ;African;M;ISIZULU;Employed;UMLAZI;KwaZulu-Natal;1
1201_1300;T;DEGR;24_25     ;African;F;XITSONGA;Student;MAPULANENG;North Eastern;1
0000_0000;T;DEGR;24_25     ;Coloured;M;ENGLISH;Unemployed;ROODEPOORT;Gauteng;1
1051_1100;F;DIPL;26_28     ;African;F;SISWATI;Unemployed;NKOMAZI;North Eastern;1
1101_1150;T;DEGR;26_28     ;African;M;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
1001_1050;T;DIPL;26_28     ;African;F;TSHIVENDA;Unemployed;THOHOYANDOU;North Eastern;1
0901_0950;F;DIPL;24_25     ;African;M;NORTHERN SOTHO;Unemployed;WONDERBOOM;Gauteng;1
0000_0000;T;KWAL;35_40     ;African;F;ENGLISH;Employed;Unknown;Unknown;1
0000_0000;F;DEGR;24_25     ;African;M;ISIZULU;Unemployed;BENONI;Gauteng;1
1051_1100;F;DEGR;22_23     ;African;F;ISIXHOSA;Unemployed;QUEENSTOWN;Eastern Cape;1
0951_1000;T;DIPL;22_23     ;African;M;NORTHERN SOTHO;Employed;VANDERBIJLPARK;Gauteng;1
0000_0000;F;DIPL;22_23     ;African;F;ISIZULU;Employed;LOWER UMFOLOZI;KwaZulu-Natal;1
1201_1300;T;DEGR;24_25     ;African;F;SESOTHO;Unemployed;BOTSHABELO;Midlands;1
1301_1400;F;DEGR;20_21     ;White;F;AFR/ENG;Employed;BELLVILLE;Western Cape;1
1401_3000;T;DEGR;22_23     ;African;M;ISIZULU;Unemployed;NONGOMA;KwaZulu-Natal;1
1301_1400;T;DEGR;24_25     ;African;F;NORTHERN SOTHO;Employed;ALBERTON;Gauteng;1
0000_0000;T;KWAL;26_28     ;African;M;ENGLISH;Employed;NEBO;North Eastern;1
1151_1200;T;MATR;35_40     ;African;F;NORTHERN SOTHO;Employed;KEMPTON PARK;Gauteng;1
1401_3000;T;DEGR;24_25     ;Coloured;M;AFRIKAANS;Unemployed;CALEDON;Western Cape;1
1051_1100;F;DIPL;20_21     ;African;M;SETSWANA;Employed;BRITS;Midlands;1
1401_3000;F;MATR;35_40     ;White;M;AFRIKAANS;Employed;BRITS;Midlands;1
1301_1400;T;DEGR;26_28     ;African;F;ISIZULU;Employed;INANDA;KwaZulu-Natal;1
0951_1000;T;SENR;29_34     ;African;F;NORTHERN SOTHO;Employed;JOHANNESBURG;Gauteng;1
0000_0000;F;DEGR;22_23     ;African;F;OTHER AFRICAN LANGUAGES;Unemployed;DURBAN;KwaZulu-Natal;1
1101_1150;T;DEGR;22_23     ;African;M;ISIZULU;Unemployed;VRYHEID;KwaZulu-Natal;1
0951_1000;F;DIPL;20_21     ;African;F;ISINDEBELE;Unemployed;GROBLERSDAL;North Eastern;1
0000_0000;F;DEGR;22_23     ;African;F;OTHER AFRICAN LANGUAGES;Unemployed;SOSHANGUWE;Gauteng;1
1401_3000;T;DEGR;29_34     ;African;M;SISWATI;Unemployed;NKOMAZI;North Eastern;1
1201_1300;T;DEGR;29_34     ;African;M;ISINDEBELE;Employed;RANDBURG;Gauteng;1
1101_1150;T;DEGR;26_28     ;African;M;XITSONGA;Unemployed;GIYANI;North Eastern;1
0901_0950;F;DIPL;26_28     ;African;F;SESOTHO;Unemployed;JOHANNESBURG;Gauteng;1
0001_0600;T;KWAL;29_34     ;African;F;ENGLISH;Employed;STELLENBOSCH;Western Cape;1
1301_1400;F;DEGR;20_21     ;White;M;AFRIKAANS;Employed;PRETORIA;Gauteng;1
1151_1200;F;DEGR;22_23     ;African;M;XITSONGA;Unemployed;MOKERONG;North Eastern;1
0000_0000;F;DEGR;18_19     ;White;M;AFR/ENG;Employed;ALBERTON;Gauteng;1
0000_0000;T;DIPL;22_23     ;African;M;NORTHERN SOTHO;Unemployed;BOKSBURG;Gauteng;1
1151_1200;T;DEGR;24_25     ;African;F;TSHIVENDA;Employed;THOHOYANDOU;North Eastern;1
0000_0000;T;VOOR;18_19     ;White;M;ENGLISH;Unemployed;GOODWOOD;Western Cape;1
0000_0000;T;DIPL;26_28     ;African;F;ISIXHOSA;Unemployed;PINETOWN;KwaZulu-Natal;1
0000_0000;T;DEGR;26_28     ;African;M;XITSONGA;Employed;RANDBURG;Gauteng;1
0901_0950;F;DEGR;20_21     ;African;M;OTHER FOREIGN LANGUAGES;Employed;JOHANNESBURG;Gauteng;1
1201_1300;T;DEGR;20_21     ;African;M;ISIZULU;Unemployed;ROODEPOORT;Gauteng;1
1101_1150;T;DEGR;22_23     ;African;F;SESOTHO;Unemployed;ALFRED;KwaZulu-Natal;1
1001_1050;T;DIPL;26_28     ;African;F;XITSONGA;Employed;VEREENIGING;Gauteng;1
1201_1300;T;DEGR;26_28     ;African;M;XITSONGA;Employed;PRETORIA;Gauteng;1
1051_1100;F;DEGR;26_28     ;African;F;SETSWANA;Employed;JOHANNESBURG;Gauteng;1
