Matric_Aggregate_Group,FTEN,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
11,1,0,2,0,1,8,2,181,1,1
9,1,0,3,0,0,14,2,3,2,1
7,1,1,5,0,0,20,0,222,1,1
11,1,0,5,0,1,20,0,173,1,1
8,0,0,5,0,0,15,0,77,1,1
11,1,0,5,0,1,10,0,77,1,1
4,0,1,4,0,0,17,2,55,3,1
0,0,2,6,0,0,8,2,67,2,1
6,1,1,4,2,1,2,0,19,1,1
7,1,0,6,0,1,7,0,134,0,1
1,1,7,6,0,0,8,2,163,2,1
4,0,1,3,0,1,8,2,216,2,1
10,1,0,4,0,0,14,2,77,1,1
11,1,0,4,0,1,8,1,77,1,1
7,0,0,5,0,0,7,2,210,0,1
9,1,4,6,0,0,10,0,189,4,1
6,1,4,6,0,1,20,0,179,4,1
11,1,0,4,0,0,20,0,80,1,1
6,1,1,3,0,1,7,2,45,0,1
0,1,0,4,0,0,8,0,105,2,1
0,1,0,5,2,1,2,0,77,1,1
0,1,0,4,5,1,0,2,173,1,1
6,1,4,7,0,1,10,0,173,1,1
8,0,0,2,0,1,8,0,77,1,1
0,1,0,6,0,1,18,0,232,4,1
8,1,0,5,0,1,14,0,57,1,1
12,1,0,4,0,1,10,0,173,1,1
11,1,0,3,5,1,1,0,197,6,1
9,1,7,7,1,1,1,0,71,0,1
7,1,0,3,5,1,0,2,169,2,1
7,0,0,2,0,0,10,2,66,4,1
10,1,4,8,5,1,2,0,77,1,1
0,1,0,2,0,1,18,0,173,1,1
0,1,0,5,0,0,8,0,77,1,1
0,1,3,6,0,1,2,0,12,6,1
0,0,1,4,0,1,8,2,75,2,1
12,1,0,5,0,0,8,0,50,2,1
12,0,0,3,0,1,14,2,114,4,1
0,1,0,4,5,0,2,2,96,0,1
5,0,1,3,0,1,15,0,84,3,1
11,1,0,5,0,0,18,0,206,4,1
11,1,0,5,0,1,10,0,193,1,1
0,1,0,3,0,1,16,0,12,6,1
10,0,0,2,0,1,15,2,55,3,1
0,0,0,2,0,0,14,2,173,1,1
12,1,7,6,0,1,7,0,18,3,1
5,0,1,3,0,1,18,0,44,4,1
9,1,0,2,0,0,10,0,139,4,1
7,1,4,8,0,1,8,2,166,2,1
11,1,4,7,1,1,1,0,244,6,1
0,0,0,2,0,1,2,2,77,1,1
8,1,1,4,0,0,8,0,43,2,1
11,1,0,5,0,1,18,2,77,1,1
8,1,0,5,0,1,2,0,181,1,1
11,1,0,3,0,0,10,0,193,1,1
0,1,3,7,0,1,2,0,173,1,1
0,1,0,5,0,0,18,0,173,1,1
0,1,0,4,0,1,2,2,12,6,1
9,1,7,6,0,1,8,0,77,1,1
11,1,0,5,0,1,14,2,237,1,1
0,0,0,6,5,1,1,0,66,4,1
1,1,3,5,0,1,14,0,77,1,1
8,1,0,4,0,1,7,2,168,0,1
10,1,0,5,0,0,10,0,173,1,1
11,1,4,7,0,1,14,0,97,3,1
11,0,4,7,5,1,2,0,19,1,1
12,0,0,2,5,0,2,2,12,6,1
5,0,1,5,0,0,6,2,117,4,1
0,0,0,3,0,1,10,0,19,1,1
0,1,0,6,0,1,17,0,242,1,1
5,0,1,2,0,1,10,2,2,1,1
